"Cell line","Culture","Pool","Dose","Vehicle","log2-fold change","Viability"
"NCIH661_LUNG","PR500","P111","1.667","DMSO","-0.182","0.882"
"MON_SOFT_TISSUE","PR500","P118","1.667","DMSO","-0.18","0.883"
"JHOC5_OVARY","PR500","P102","45","DMSO","-0.178","0.884"
"HCC1359_LUNG","PR500","P106","1.667","DMSO","-0.178","0.884"
"PSN1_PANCREAS","PR500","P105","1.667","DMSO","-0.178","0.884"
"HOS_BONE","PR500","P113","0.5556","DMSO","-0.178","0.884"
"HEC251_ENDOMETRIUM","PR500","P117","1.667","DMSO","-0.179","0.884"
"UACC257_SKIN","PR500","P118","45","DMSO","-0.178","0.884"
"PATU8988S_PANCREAS","PR500","P114","1.667","DMSO","-0.177","0.885"
"DU145_PROSTATE","PR500","P109","0.5556","DMSO","-0.177","0.885"
"CFPAC1_PANCREAS","PR500","P110","1.667","DMSO","-0.175","0.885"
"SW620_LARGE_INTESTINE","PR500","P108","0.5556","DMSO","-0.175","0.886"
"G402_SOFT_TISSUE","PR500","P103","15","DMSO","-0.175","0.886"
"WM1799_SKIN","PR500","P111","1.667","DMSO","-0.175","0.886"
"NCIH23_LUNG","PR500","P117","1.667","DMSO","-0.173","0.887"
"HCC827_LUNG","PR500","P107","0.5556","DMSO","-0.172","0.888"
"HCC1419_BREAST","PR500","P115","0.5556","DMSO","-0.172","0.888"
"SNU719_STOMACH","PR500","P120","0.5556","DMSO","-0.171","0.888"
"OV56_OVARY","PR500","P116","45","DMSO","-0.171","0.888"
"5637_URINARY_TRACT","PR500","P107","0.5556","DMSO","-0.171","0.888"
"T24_URINARY_TRACT","PR500","P101","0.5556","DMSO","-0.171","0.888"
"FTC133_THYROID","PR500","P102","1.667","DMSO","-0.17","0.889"
"PATU8902_PANCREAS","PR500","P103","0.5556","DMSO","-0.17","0.889"
"PANC0813_PANCREAS","PR500","P116","0.5556","DMSO","-0.17","0.889"
"RMGI_OVARY","PR500","P103","1.667","DMSO","-0.168","0.89"
"JHOS2_OVARY","PR500","P114","1.667","DMSO","-0.168","0.89"
"NCIH1648_LUNG","PR500","P110","1.667","DMSO","-0.168","0.89"
"TCCPAN2_PANCREAS","PR500","P110","1.667","DMSO","-0.168","0.89"
"HLF_LIVER","PR500","P101","1.667","DMSO","-0.168","0.89"
"RERFLCMS_LUNG","PR500","P112","1.667","DMSO","-0.167","0.891"
"NCIH292_LUNG","PR500","P113","15","DMSO","-0.167","0.891"
"UBLC1_URINARY_TRACT","PR500","P120","1.667","DMSO","-0.167","0.891"
"HEC59_ENDOMETRIUM","PR500","P115","0.5556","DMSO","-0.165","0.892"
"MG63_BONE","PR500","P105","1.667","DMSO","-0.165","0.892"
"LXF289_LUNG","PR500","P110","1.667","DMSO","-0.165","0.892"
"OVK18_OVARY","PR500","P102","15","DMSO","-0.163","0.893"
"KYSE180_OESOPHAGUS","PR500","P106","0.5556","DMSO","-0.163","0.893"
"PANC0203_PANCREAS","PR500","P115","0.5556","DMSO","-0.161","0.894"
"OE21_OESOPHAGUS","PR500","P118","1.667","DMSO","-0.162","0.894"
"U2OS_BONE","PR500","P111","0.5556","DMSO","-0.162","0.894"
"TE1_OESOPHAGUS","PR500","P114","15","DMSO","-0.159","0.895"
"EFM192A_BREAST","PR500","P115","1.667","DMSO","-0.16","0.895"
"LNCAPCLONEFGC_PROSTATE","PR500","P120","15","DMSO","-0.16","0.895"
"JHOC5_OVARY","PR500","P102","0.5556","DMSO","-0.159","0.896"
"SBC5_LUNG","PR500","P102","1.667","DMSO","-0.158","0.896"
"PK45H_PANCREAS","PR500","P115","0.5556","DMSO","-0.159","0.896"
"PK45H_PANCREAS","PR500","P115","1.667","DMSO","-0.159","0.896"
"SNU601_STOMACH","PR500","P111","1.667","DMSO","-0.159","0.896"
"U2OS_BONE","PR500","P111","15","DMSO","-0.158","0.896"
"SW837_LARGE_INTESTINE","PR500","P108","1.667","DMSO","-0.157","0.897"
"SNUC2A_LARGE_INTESTINE","PR500","P107","0.5556","DMSO","-0.156","0.897"
"NCIH1792_LUNG","PR500","P115","1.667","DMSO","-0.157","0.897"
"HCC15_LUNG","PR500","P110","1.667","DMSO","-0.157","0.897"
"NCIH1703_LUNG","PR500","P111","15","DMSO","-0.157","0.897"
"L33_PANCREAS","PR500","P101","1.667","DMSO","-0.157","0.897"
"SNU1077_ENDOMETRIUM","PR500","P102","1.667","DMSO","-0.156","0.898"
"NCIH1435_LUNG","PR500","P113","15","DMSO","-0.155","0.898"
"HUCCT1_BILIARY_TRACT","PR500","P113","0.5556","DMSO","-0.154","0.899"
"JHUEM2_ENDOMETRIUM","PR500","P106","0.5556","DMSO","-0.153","0.9"
"MDAMB435S_SKIN","PR500","P110","15","DMSO","-0.153","0.9"
"SQ1_LUNG","PR500","P119","1.667","DMSO","-0.153","0.9"
"OV56_OVARY","PR500","P116","0.5556","DMSO","-0.151","0.9"
"NCIH2172_LUNG","PR500","P108","1.667","DMSO","-0.15","0.901"
"G402_SOFT_TISSUE","PR500","P103","1.667","DMSO","-0.15","0.901"
"NCIH1373_LUNG","PR500","P113","1.667","DMSO","-0.15","0.901"
"NCIH2170_LUNG","PR500","P117","1.667","DMSO","-0.151","0.901"
"NUGC3_STOMACH","PR500","P117","15","DMSO","-0.151","0.901"
"COLO800_SKIN","PR500","P117","15","DMSO","-0.149","0.902"
"WM793_SKIN","PR500","P118","1.667","DMSO","-0.148","0.902"
"SNU1077_ENDOMETRIUM","PR500","P102","5","DMSO","-0.147","0.903"
"GB1_CENTRAL_NERVOUS_SYSTEM","PR500","P107","1.667","DMSO","-0.147","0.903"
"TT2609C02_THYROID","PR500","P103","45","DMSO","-0.147","0.903"
"CAKI1_KIDNEY","PR500","P103","15","DMSO","-0.148","0.903"
"ACHN_KIDNEY","PR500","P110","1.667","DMSO","-0.147","0.903"
"SW480_LARGE_INTESTINE","PR500","P108","1.667","DMSO","-0.146","0.904"
"PECAPJ15_UPPER_AERODIGESTIVE_TRACT","PR500","P103","1.667","DMSO","-0.145","0.904"
"NCIH1573_LUNG","PR500","P106","1.667","DMSO","-0.145","0.904"
"OC316_OVARY","PR500","P105","1.667","DMSO","-0.145","0.904"
"2313287_STOMACH","PR500","P117","0.5556","DMSO","-0.146","0.904"
"LS411N_LARGE_INTESTINE","PR500","P111","1.667","DMSO","-0.145","0.904"
"FTC133_THYROID","PR500","P102","0.5556","DMSO","-0.145","0.905"
"SW1573_LUNG","PR500","P103","15","DMSO","-0.144","0.905"
"NCIH2077_LUNG","PR500","P118","0.5556","DMSO","-0.143","0.905"
"RKN_SOFT_TISSUE","PR500","P109","0.5556","DMSO","-0.144","0.905"
"HSC3_UPPER_AERODIGESTIVE_TRACT","PR500","P112","15","DMSO","-0.144","0.905"
"ABC1_LUNG","PR500","P113","15","DMSO","-0.144","0.905"
"HCC1428_BREAST","PR500","P117","15","DMSO","-0.144","0.905"
"UACC62_SKIN","PR500","P120","1.667","DMSO","-0.143","0.905"
"CAL62_THYROID","PR500","P101","1.667","DMSO","-0.144","0.905"
"YKG1_CENTRAL_NERVOUS_SYSTEM","PR500","P108","15","DMSO","-0.142","0.906"
"TT_OESOPHAGUS","PR500","P110","1.667","DMSO","-0.142","0.906"
"HEP3B217_LIVER","PR500","P113","1.667","DMSO","-0.142","0.906"
"SW948_LARGE_INTESTINE","PR500","P111","0.5556","DMSO","-0.142","0.906"
"SKUT1_SOFT_TISSUE","PR500","P108","1.667","DMSO","-0.14","0.907"
"LXF289_LUNG","PR500","P110","15","DMSO","-0.14","0.907"
"OE19_OESOPHAGUS","PR500","P111","15","DMSO","-0.14","0.907"
"NCIH28_PLEURA","PR500","P111","15","DMSO","-0.14","0.907"
"OVK18_OVARY","PR500","P102","0.5556","DMSO","-0.139","0.908"
"SNU668_STOMACH","PR500","P112","1.667","DMSO","-0.139","0.908"
"TUHR4TKB_KIDNEY","PR500","P120","1.667","DMSO","-0.139","0.908"
"RMUGS_OVARY","PR500","P110","15","DMSO","-0.139","0.908"
"NCIH661_LUNG","PR500","P111","0.5556","DMSO","-0.14","0.908"
"YD15_SALIVARY_GLAND","PR500","P101","15","DMSO","-0.14","0.908"
"JHUEM2_ENDOMETRIUM","PR500","P106","1.667","DMSO","-0.138","0.909"
"HT29_LARGE_INTESTINE","PR500","P104","1.667","DMSO","-0.137","0.909"
"MELJUSO_SKIN","PR500","P112","0.5556","DMSO","-0.138","0.909"
"CAL27_UPPER_AERODIGESTIVE_TRACT","PR500","P105","15","DMSO","-0.136","0.91"
"HUPT3_PANCREAS","PR500","P117","1.667","DMSO","-0.136","0.91"
"TM87_SOFT_TISSUE","PR500","P116","15","DMSO","-0.136","0.91"
"SKLU1_LUNG","PR500","P106","1.667","DMSO","-0.134","0.911"
"KMRC20_KIDNEY","PR500","P110","15","DMSO","-0.135","0.911"
"A549_LUNG","PR500","P107","1.667","DMSO","-0.135","0.911"
"SNU1041_UPPER_AERODIGESTIVE_TRACT","PR500","P118","1.667","DMSO","-0.135","0.911"
"NCIH226_LUNG","PR500","P119","15","DMSO","-0.135","0.911"
"NCIH1703_LUNG","PR500","P111","1.667","DMSO","-0.134","0.911"
"SNU407_LARGE_INTESTINE","PR500","P108","1.667","DMSO","-0.132","0.912"
"KURAMOCHI_OVARY","PR500","P108","0.5556","DMSO","-0.132","0.912"
"LCLC103H_LUNG","PR500","P106","0.5556","DMSO","-0.133","0.912"
"NCIH2452_PLEURA","PR500","P117","1.667","DMSO","-0.134","0.912"
"CAL29_URINARY_TRACT","PR500","P107","0.5556","DMSO","-0.133","0.912"
"TOV112D_OVARY","PR500","P102","5","DMSO","-0.131","0.913"
"LS513_LARGE_INTESTINE","PR500","P103","1.667","DMSO","-0.132","0.913"
"VMRCRCW_KIDNEY","PR500","P103","1.667","DMSO","-0.132","0.913"
"EWS502_BONE","PR500","P116","0.5556","DMSO","-0.132","0.913"
"A2780_OVARY","PR500","P101","1.667","DMSO","-0.131","0.913"
"TOV112D_OVARY","PR500","P102","15","DMSO","-0.129","0.914"
"SW1088_CENTRAL_NERVOUS_SYSTEM","PR500","P116","0.5556","DMSO","-0.13","0.914"
"COV362_OVARY","PR500","P120","0.5556","DMSO","-0.129","0.914"
"DMS273_LUNG","PR500","P101","1.667","DMSO","-0.13","0.914"
"HCT15_LARGE_INTESTINE","PR500","P104","0.5556","DMSO","-0.128","0.915"
"RERFLCKJ_LUNG","PR500","P117","15","DMSO","-0.128","0.915"
"HCC1143_BREAST","PR500","P116","15","DMSO","-0.129","0.915"
"YD15_SALIVARY_GLAND","PR500","P101","1.667","DMSO","-0.128","0.915"
"PSN1_PANCREAS","PR500","P105","15","DMSO","-0.127","0.916"
"ONS76_CENTRAL_NERVOUS_SYSTEM","PR500","P104","1.667","DMSO","-0.124","0.917"
"SIMA_AUTONOMIC_GANGLIA","PR500","P113","0.5556","DMSO","-0.125","0.917"
"WM2664_SKIN","PR500","P111","1.667","DMSO","-0.125","0.917"
"PANC0203_PANCREAS","PR500","P115","15","DMSO","-0.123","0.918"
"TE8_OESOPHAGUS","PR500","P104","1.667","DMSO","-0.124","0.918"
"CORL105_LUNG","PR500","P112","0.5556","DMSO","-0.123","0.918"
"SKMES1_LUNG","PR500","P119","15","DMSO","-0.124","0.918"
"SKMEL2_SKIN","PR500","P119","15","DMSO","-0.123","0.918"
"CAL120_BREAST","PR500","P110","15","DMSO","-0.122","0.919"
"CAL54_KIDNEY","PR500","P101","0.5556","DMSO","-0.122","0.919"
"HS852T_SKIN","PR500","P114","0.5556","DMSO","-0.121","0.92"
"LN229_CENTRAL_NERVOUS_SYSTEM","PR500","P109","1.667","DMSO","-0.12","0.92"
"U118MG_CENTRAL_NERVOUS_SYSTEM","PR500","P120","1.667","DMSO","-0.12","0.92"
"8305C_THYROID","PR500","P118","0.5556","DMSO","-0.12","0.92"
"OC314_OVARY","PR500","P109","15","DMSO","-0.118","0.921"
"TE9_OESOPHAGUS","PR500","P113","0.5556","DMSO","-0.119","0.921"
"NCIH446_LUNG","PR500","P117","15","DMSO","-0.119","0.921"
"SKNAS_AUTONOMIC_GANGLIA","PR500","P116","1.667","DMSO","-0.118","0.921"
"LMSU_STOMACH","PR500","P114","1.667","DMSO","-0.117","0.922"
"HS944T_SKIN","PR500","P105","1.667","DMSO","-0.118","0.922"
"SIMA_AUTONOMIC_GANGLIA","PR500","P113","1.667","DMSO","-0.118","0.922"
"KNS42_CENTRAL_NERVOUS_SYSTEM","PR500","P117","15","DMSO","-0.117","0.922"
"CADOES1_BONE","PR500","P103","0.5556","DMSO","-0.115","0.923"
"786O_KIDNEY","PR500","P104","15","DMSO","-0.116","0.923"
"T3M10_LUNG","PR500","P112","1.667","DMSO","-0.116","0.923"
"SKMEL3_SKIN","PR500","P119","1.667","DMSO","-0.116","0.923"
"YD10B_UPPER_AERODIGESTIVE_TRACT","PR500","P101","0.5556","DMSO","-0.116","0.923"
"639V_URINARY_TRACT","PR500","P104","1.667","DMSO","-0.114","0.924"
"NCIH1651_LUNG","PR500","P109","15","DMSO","-0.113","0.924"
"NCIH2122_LUNG","PR500","P114","1.667","DMSO","-0.113","0.924"
"KMRC1_KIDNEY","PR500","P106","15","DMSO","-0.113","0.925"
"HCC1419_BREAST","PR500","P115","1.667","DMSO","-0.113","0.925"
"253JBV_URINARY_TRACT","PR500","P104","1.667","DMSO","-0.113","0.925"
"CJM_SKIN","PR500","P109","0.5556","DMSO","-0.113","0.925"
"NCIH727_LUNG","PR500","P115","15","DMSO","-0.111","0.926"
"HUH7_LIVER","PR500","P109","5","DMSO","-0.111","0.926"
"KMBC2_URINARY_TRACT","PR500","P104","0.5556","DMSO","-0.11","0.926"
"NCIH1651_LUNG","PR500","P109","1.667","DMSO","-0.111","0.926"
"MCF7_BREAST","PR500","P116","1.667","DMSO","-0.111","0.926"
"G361_SKIN","PR500","P101","5","DMSO","-0.111","0.926"
"WM983B_SKIN","PR500","P116","15","DMSO","-0.109","0.927"
"HCC1937_BREAST","PR500","P120","1.667","DMSO","-0.109","0.927"
"PC3_PROSTATE","PR500","P113","1.667","DMSO","-0.108","0.928"
"SNU1066_UPPER_AERODIGESTIVE_TRACT","PR500","P105","1.667","DMSO","-0.108","0.928"
"T3M10_LUNG","PR500","P112","0.5556","DMSO","-0.107","0.928"
"HCC38_BREAST","PR500","P117","5","DMSO","-0.107","0.928"
"SNU308_BILIARY_TRACT","PR500","P118","0.5556","DMSO","-0.108","0.928"
"NCIH2009_LUNG","PR500","P110","1.667","DMSO","-0.108","0.928"
"A101D_SKIN","PR500","P103","0.5556","DMSO","-0.106","0.929"
"TE6_OESOPHAGUS","PR500","P115","1.667","DMSO","-0.106","0.929"
"JMSU1_URINARY_TRACT","PR500","P110","1.667","DMSO","-0.106","0.929"
"T24_URINARY_TRACT","PR500","P101","15","DMSO","-0.106","0.929"
"CAL12T_LUNG","PR500","P101","15","DMSO","-0.107","0.929"
"MKN74_STOMACH","PR500","P106","15","DMSO","-0.105","0.93"
"HCC1195_LUNG","PR500","P112","0.5556","DMSO","-0.104","0.93"
"EN_ENDOMETRIUM","PR500","P112","45","DMSO","-0.105","0.93"
"SNU1196_BILIARY_TRACT","PR500","P113","5","DMSO","-0.104","0.93"
"NCIH1355_LUNG","PR500","P110","15","DMSO","-0.104","0.93"
"GAMG_CENTRAL_NERVOUS_SYSTEM","PR500","P111","15","DMSO","-0.103","0.931"
"MDAMB436_BREAST","PR500","P113","0.5556","DMSO","-0.104","0.931"
"IALM_LUNG","PR500","P119","1.667","DMSO","-0.104","0.931"
"U251MG_CENTRAL_NERVOUS_SYSTEM","PR500","P111","1.667","DMSO","-0.104","0.931"
"MDAMB175VII_BREAST","PR500","P116","5","DMSO","-0.104","0.931"
"647V_URINARY_TRACT","PR500","P101","1.667","DMSO","-0.103","0.931"
"HS766T_PANCREAS","PR500","P108","0.5556","DMSO","-0.102","0.932"
"HCC78_LUNG","PR500","P109","0.5556","DMSO","-0.101","0.932"
"DU145_PROSTATE","PR500","P109","1.667","DMSO","-0.102","0.932"
"RT4_URINARY_TRACT","PR500","P113","45","DMSO","-0.102","0.932"
"RH30_SOFT_TISSUE","PR500","P105","1.667","DMSO","-0.101","0.932"
"EFO21_OVARY","PR500","P116","0.5556","DMSO","-0.101","0.932"
"KP4_PANCREAS","PR500","P101","15","DMSO","-0.102","0.932"
"TT2609C02_THYROID","PR500","P103","15","DMSO","-0.0993","0.934"
"TE9_OESOPHAGUS","PR500","P113","1.667","DMSO","-0.0985","0.934"
"DV90_LUNG","PR500","P111","0.5556","DMSO","-0.0991","0.934"
"PANC1005_PANCREAS","PR500","P111","15","DMSO","-0.0982","0.934"
"HT144_SKIN","PR500","P111","1.667","DMSO","-0.098","0.934"
"SF295_CENTRAL_NERVOUS_SYSTEM","PR500","P101","1.667","DMSO","-0.0984","0.934"
"YD10B_UPPER_AERODIGESTIVE_TRACT","PR500","P101","1.667","DMSO","-0.0981","0.934"
"LS180_LARGE_INTESTINE","PR500","P113","1.667","DMSO","-0.0965","0.935"
"LNCAPCLONEFGC_PROSTATE","PR500","P120","1.667","DMSO","-0.097","0.935"
"KYSE140_OESOPHAGUS","PR500","P118","15","DMSO","-0.0952","0.936"
"RERFLCAD2_LUNG","PR500","P109","0.5556","DMSO","-0.0937","0.937"
"PATU8988S_PANCREAS","PR500","P114","0.5556","DMSO","-0.0946","0.937"
"OC316_OVARY","PR500","P105","15","DMSO","-0.094","0.937"
"SIMA_AUTONOMIC_GANGLIA","PR500","P113","45","DMSO","-0.0941","0.937"
"TM31_CENTRAL_NERVOUS_SYSTEM","PR500","P116","1.667","DMSO","-0.0946","0.937"
"HUH28_BILIARY_TRACT","PR500","P120","1.667","DMSO","-0.0939","0.937"
"KP3_PANCREAS","PR500","P108","15","DMSO","-0.0916","0.938"
"MALME3M_SKIN","PR500","P120","15","DMSO","-0.092","0.938"
"LU99_LUNG","PR500","P107","15","DMSO","-0.0924","0.938"
"BT474_BREAST","PR500","P119","15","DMSO","-0.0921","0.938"
"DMS273_LUNG","PR500","P101","15","DMSO","-0.092","0.938"
"SW1710_URINARY_TRACT","PR500","P103","15","DMSO","-0.0901","0.939"
"SNU685_ENDOMETRIUM","PR500","P103","15","DMSO","-0.0908","0.939"
"NCIH2077_LUNG","PR500","P118","15","DMSO","-0.0905","0.939"
"SBC5_LUNG","PR500","P102","15","DMSO","-0.0895","0.94"
"KMRC3_KIDNEY","PR500","P115","15","DMSO","-0.0889","0.94"
"NCIH2087_LUNG","PR500","P115","1.667","DMSO","-0.0895","0.94"
"NCIH661_LUNG","PR500","P111","15","DMSO","-0.0894","0.94"
"COLO668_LUNG","PR500","P103","5","DMSO","-0.0881","0.941"
"HCC1806_BREAST","PR500","P115","1.667","DMSO","-0.0877","0.941"
"DU145_PROSTATE","PR500","P109","15","DMSO","-0.0872","0.941"
"5637_URINARY_TRACT","PR500","P107","45","DMSO","-0.0875","0.941"
"SNU886_LIVER","PR500","P103","1.667","DMSO","-0.0868","0.942"
"NCIH1048_LUNG","PR500","P115","1.667","DMSO","-0.0855","0.942"
"769P_KIDNEY","PR500","P118","15","DMSO","-0.0847","0.943"
"MALME3M_SKIN","PR500","P120","1.667","DMSO","-0.0839","0.943"
"SNU601_STOMACH","PR500","P111","15","DMSO","-0.085","0.943"
"CJM_SKIN","PR500","P109","1.667","DMSO","-0.0824","0.944"
"BICR56_UPPER_AERODIGESTIVE_TRACT","PR500","P117","1.667","DMSO","-0.0829","0.944"
"COV362_OVARY","PR500","P120","1.667","DMSO","-0.0834","0.944"
"BICR31_UPPER_AERODIGESTIVE_TRACT","PR500","P119","1.667","DMSO","-0.0826","0.944"
"TM87_SOFT_TISSUE","PR500","P116","45","DMSO","-0.0826","0.944"
"KYSE270_OESOPHAGUS","PR500","P105","15","DMSO","-0.082","0.945"
"SF126_CENTRAL_NERVOUS_SYSTEM","PR500","P105","0.5556","DMSO","-0.0821","0.945"
"MHHES1_BONE","PR500","P111","1.667","DMSO","-0.0823","0.945"
"BC3C_URINARY_TRACT","PR500","P105","0.5556","DMSO","-0.0799","0.946"
"ASPC1_PANCREAS","PR500","P120","1.667","DMSO","-0.0799","0.946"
"NCIH2347_LUNG","PR500","P119","1.667","DMSO","-0.0796","0.946"
"HCC38_BREAST","PR500","P117","1.667","DMSO","-0.0786","0.947"
"8305C_THYROID","PR500","P118","1.667","DMSO","-0.0789","0.947"
"CAL78_BONE","PR500","P120","45","DMSO","-0.0789","0.947"
"KYSE30_OESOPHAGUS","PR500","P108","0.5556","DMSO","-0.0764","0.948"
"SNU840_OVARY","PR500","P107","15","DMSO","-0.0775","0.948"
"EN_ENDOMETRIUM","PR500","P112","5","DMSO","-0.0769","0.948"
"TE5_OESOPHAGUS","PR500","P112","1.667","DMSO","-0.0763","0.948"
"LU99_LUNG","PR500","P107","45","DMSO","-0.0756","0.949"
"BT474_BREAST","PR500","P119","1.667","DMSO","-0.0734","0.95"
"SKHEP1_LIVER","PR500","P108","45","DMSO","-0.0692","0.953"
"CHL1_SKIN","PR500","P104","1.667","DMSO","-0.0691","0.953"
"MDAMB231_BREAST","PR500","P112","15","DMSO","-0.07","0.953"
"JHH7_LIVER","PR500","P118","0.5556","DMSO","-0.0693","0.953"
"SW900_LUNG","PR500","P119","1.667","DMSO","-0.0698","0.953"
"A2780_OVARY","PR500","P101","15","DMSO","-0.0691","0.953"
"GAMG_CENTRAL_NERVOUS_SYSTEM","PR500","P111","1.667","DMSO","-0.0681","0.954"
"BHT101_THYROID","PR500","P103","45","DMSO","-0.0678","0.954"
"RERFLCAI_LUNG","PR500","P113","15","DMSO","-0.0674","0.954"
"GP2D_LARGE_INTESTINE","PR500","P118","0.5556","DMSO","-0.0687","0.954"
"NCIH2228_LUNG","PR500","P120","1.667","DMSO","-0.0682","0.954"
"22RV1_PROSTATE","PR500","P111","15","DMSO","-0.0678","0.954"
"647V_URINARY_TRACT","PR500","P101","15","DMSO","-0.0675","0.954"
"NCIH1975_LUNG","PR500","P107","15","DMSO","-0.0658","0.955"
"NCIH838_LUNG","PR500","P104","1.667","DMSO","-0.067","0.955"
"MHHES1_BONE","PR500","P111","0.5556","DMSO","-0.0665","0.955"
"SQ1_LUNG","PR500","P119","0.5556","DMSO","-0.0656","0.956"
"NCIH747_LARGE_INTESTINE","PR500","P118","15","DMSO","-0.0638","0.957"
"NCIH2444_LUNG","PR500","P120","15","DMSO","-0.0639","0.957"
"T24_URINARY_TRACT","PR500","P101","1.667","DMSO","-0.0627","0.957"
"HMC18_BREAST","PR500","P101","15","DMSO","-0.0629","0.957"
"SNU245_BILIARY_TRACT","PR500","P106","0.5556","DMSO","-0.0617","0.958"
"LXF289_LUNG","PR500","P110","45","DMSO","-0.0618","0.958"
"MEWO_SKIN","PR500","P110","15","DMSO","-0.0623","0.958"
"KMRC20_KIDNEY","PR500","P110","1.667","DMSO","-0.062","0.958"
"COLO741_SKIN","PR500","P116","5","DMSO","-0.0624","0.958"
"YD8_UPPER_AERODIGESTIVE_TRACT","PR500","P105","0.5556","DMSO","-0.062","0.958"
"HS852T_SKIN","PR500","P114","15","DMSO","-0.0605","0.959"
"NCIH358_LUNG","PR500","P115","1.667","DMSO","-0.0606","0.959"
"KNS60_CENTRAL_NERVOUS_SYSTEM","PR500","P112","1.667","DMSO","-0.0597","0.959"
"PC14_LUNG","PR500","P112","15","DMSO","-0.0604","0.959"
"SNU1196_BILIARY_TRACT","PR500","P113","0.5556","DMSO","-0.0599","0.959"
"SKLU1_LUNG","PR500","P106","45","DMSO","-0.059","0.96"
"RVH421_SKIN","PR500","P114","15","DMSO","-0.0586","0.96"
"MKN7_STOMACH","PR500","P115","1.667","DMSO","-0.059","0.96"
"S117_THYROID","PR500","P110","1.667","DMSO","-0.059","0.96"
"RT112_URINARY_TRACT","PR500","P112","1.667","DMSO","-0.0576","0.961"
"769P_KIDNEY","PR500","P118","1.667","DMSO","-0.058","0.961"
"NCIN87_STOMACH","PR500","P107","0.5556","DMSO","-0.056","0.962"
"COLO783_SKIN","PR500","P109","15","DMSO","-0.0557","0.962"
"PANC1005_PANCREAS","PR500","P111","1.667","DMSO","-0.056","0.962"
"RERFLCAD2_LUNG","PR500","P109","5","DMSO","-0.0543","0.963"
"PATU8988T_PANCREAS","PR500","P104","15","DMSO","-0.0539","0.963"
"SNU1214_UPPER_AERODIGESTIVE_TRACT","PR500","P120","15","DMSO","-0.055","0.963"
"DKMG_CENTRAL_NERVOUS_SYSTEM","PR500","P119","1.667","DMSO","-0.0549","0.963"
"BICR6_UPPER_AERODIGESTIVE_TRACT","PR500","P119","1.667","DMSO","-0.0545","0.963"
"CAL54_KIDNEY","PR500","P101","15","DMSO","-0.055","0.963"
"NCIH322_LUNG","PR500","P107","1.667","DMSO","-0.053","0.964"
"MKN1_STOMACH","PR500","P106","1.667","DMSO","-0.0525","0.964"
"CL34_LARGE_INTESTINE","PR500","P115","1.667","DMSO","-0.0522","0.964"
"HCC1438_LUNG","PR500","P109","1.667","DMSO","-0.0532","0.964"
"TE5_OESOPHAGUS","PR500","P112","15","DMSO","-0.0522","0.964"
"HT1080_SOFT_TISSUE","PR500","P102","15","DMSO","-0.0519","0.965"
"NCIH358_LUNG","PR500","P115","0.5556","DMSO","-0.0508","0.965"
"BC3C_URINARY_TRACT","PR500","P105","15","DMSO","-0.0511","0.965"
"TT_THYROID","PR500","P120","0.5556","DMSO","-0.0511","0.965"
"KURAMOCHI_OVARY","PR500","P108","1.667","DMSO","-0.0492","0.966"
"SKUT1_SOFT_TISSUE","PR500","P108","45","DMSO","-0.0498","0.966"
"LN18_CENTRAL_NERVOUS_SYSTEM","PR500","P112","15","DMSO","-0.0503","0.966"
"LOUNH91_LUNG","PR500","P112","1.667","DMSO","-0.0495","0.966"
"RERFLCKJ_LUNG","PR500","P117","1.667","DMSO","-0.0495","0.966"
"DANG_PANCREAS","PR500","P114","1.667","DMSO","-0.0477","0.967"
"BCPAP_THYROID","PR500","P116","15","DMSO","-0.0484","0.967"
"NCIH1623_LUNG","PR500","P120","1.667","DMSO","-0.0466","0.968"
"EFO21_OVARY","PR500","P116","15","DMSO","-0.0466","0.968"
"HCC78_LUNG","PR500","P109","1.667","DMSO","-0.0448","0.969"
"KELLY_AUTONOMIC_GANGLIA","PR500","P103","1.667","DMSO","-0.0435","0.97"
"JHH5_LIVER","PR500","P109","45","DMSO","-0.0447","0.97"
"K029AX_SKIN","PR500","P112","0.5556","DMSO","-0.0446","0.97"
"KALS1_CENTRAL_NERVOUS_SYSTEM","PR500","P117","15","DMSO","-0.0437","0.97"
"HT144_SKIN","PR500","P111","0.5556","DMSO","-0.0434","0.97"
"5637_URINARY_TRACT","PR500","P107","1.667","DMSO","-0.0438","0.97"
"GB1_CENTRAL_NERVOUS_SYSTEM","PR500","P107","15","DMSO","-0.0419","0.971"
"NCIH520_LUNG","PR500","P103","0.5556","DMSO","-0.0432","0.971"
"NCIH322_LUNG","PR500","P107","15","DMSO","-0.0424","0.971"
"SKOV3_OVARY","PR500","P106","0.5556","DMSO","-0.0423","0.971"
"SNU449_LIVER","PR500","P113","15","DMSO","-0.0421","0.971"
"MELHO_SKIN","PR500","P110","15","DMSO","-0.0428","0.971"
"PATU8988S_PANCREAS","PR500","P114","5","DMSO","-0.0409","0.972"
"SW579_THYROID","PR500","P112","0.5556","DMSO","-0.0409","0.972"
"ONCODG1_OVARY","PR500","P120","0.5556","DMSO","-0.041","0.972"
"HMC18_BREAST","PR500","P101","0.5556","DMSO","-0.0416","0.972"
"NCIH2172_LUNG","PR500","P108","15","DMSO","-0.0394","0.973"
"JHH6_LIVER","PR500","P102","15","DMSO","-0.0401","0.973"
"LK2_LUNG","PR500","P116","1.667","DMSO","-0.0397","0.973"
